session_id,type,interval_seconds,interval_ns,clients,pop_count,has_popping
pLRvRsMpwN+3mVhU6BYZDg,webext,20.0,20000000000,0,0,0
6PhTdTzfBLAywD1hp4qGXA,webext,20.0,20000000000,0,0,0
iMqHYllQFw1FnI84VyJhvg,webext,20.0,20000000000,0,0,0
4VqKHoxzECQwctadE22Ulg,webext,20.0,20000000000,0,0,0
j3pnJ1ASqrWtJfRr3oPT5w,webext,20.0,20000000000,0,0,0
8PGDqwKPESqZo2nLr3l09Q,webext,20.0,20000000000,0,0,0
bpS+59Ld1ts8nMSEgVbkEw,webext,20.0,20000000000,0,0,0
2zhPpboBhUS1k5l8M6V6wg,webext,20.0,20000000000,0,0,0
pq6xtH0Qh0ipWz+u4NcQCQ,webext,20.0,20000000000,0,0,0
CZTOj940YldCoRbERLISTg,webext,20.0,20000000000,0,0,0
WF7ItCV58w9XP4xjUg5J1g,webext,20.0,20000000000,0,0,0
XkWZkWGKC5xETm4LLlUoGQ,webext,20.0,20000000000,0,0,0
hg0zAuxc1tbbsh+94Vv1zw,webext,20.0,20000000000,0,0,0
djd9Jl76tjIXSvpQ4ODCmw,webext,20.0,20000000000,0,0,0
02WaM9y8yT0xhxn6zh4Z+w,webext,20.0,20000000000,0,0,0
IDkl/cFIIxoi8J2L89x+sg,webext,20.0,20000000000,0,0,0
OjeMOf9OKWQ5t07r9AarUQ,webext,20.0,20000000000,0,0,0
DNNmDyrb0WF2gC/zleHWzA,webext,20.0,20000000000,0,0,0
+LEMrQE6lgQEmMsHpaCMGA,webext,20.0,20000000000,0,0,0
h0kpfAfojemXN8rRUYRleQ,webext,20.0,20000000000,0,0,0
tAsrzvFshDjGPOP0XPAEJQ,webext,20.0,20000000000,0,0,0
jEJ1/dXkHg3W9ZXG8OaQ6g,webext,20.0,20000000000,0,0,0
sWKeqnz6SzeH16XfI1qExg,webext,20.0,20000000000,0,0,0
OM8z2HbrrbuQ30RS4c8b5w,webext,20.0,20000000000,0,0,0
Pn2gYk+gMM1bAC88YjQI6Q,webext,20.0,20000000000,0,0,0
bW9qrCmZXtSf9km5+wcebg,webext,20.0,20000000000,0,0,0
Dl/+NaaLo7NjHtdom21AeQ,webext,20.0,20000000000,0,0,0
WvgIhMqCHKFR9Gi+0Imkdg,webext,20.0,20000000000,0,0,0
Fu+zaItYqUt/qpdE/FPJZQ,webext,20.0,20000000000,0,0,0
J+WLSSGZt554M28aKA+5FQ,webext,20.0,20000000000,0,0,0
VLnqJr58PqBgDJeV/NIHZQ,webext,20.0,20000000000,0,0,0
HYyL3VMTtx9zBRXBjtDzdg,webext,20.0,20000000000,0,0,0
